Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Recommendations for Patient,Herbal/Alternative Remedies,Ayurvedic Herbs Recommended
Barth Syndrome,"Muscle weakness, fatigue, delayed growth","Genetic Testing, Blood Tests",Severe,Lifelong,"Genetic, Cardiovascular disorders","Supportive care, Heart medication","Genetic Mutation, Family History","Genetic mutation, Stress",Poor Sleep,High Stress,Low,Family history of Barth Syndrome,"Low-sodium, High-protein",,All seasons,Childhood,Mostly Male,Special medical care,Avoids high-stress environments,"Shatavari (2g), Warm milk (200ml)","Vata, Pitta",Vata-Prakriti,Include nutrient-dense foods and avoid strenuous activities.,"Gentle Yoga, Cardiovascular Yoga","Cardiac Support, Medications","Genetic Counseling, Monitoring",Can be Managed with Medications,"Cardiomyopathy, Heart Failure",Regular Monitoring of Heart Health,None specific,"Arjuna, Ashwagandha"
Arrhythmia,"Enlarged organs, low blood sugar, growth delays","Genetic Testing, Blood Tests",Moderate to Severe,Lifelong,"Heart diseases, Hypertension","Beta-blockers, Calcium channel blockers","Genetic Mutations, Family History","High caffeine intake, Sedentary lifestyle",Poor Sleep,High Stress,Low to Moderate,Family history of heart disease,"Low-sodium, High-potassium",,All seasons,40-70 years,Both genders,"Sedentary lifestyle, Desk jobs",Avoids alcohol and smoking,"Triphala (1 tsp), Warm water (200ml)",Kapha,Kapha-Prakriti,Avoid sugary foods; focus on a balanced diet and regular meals.,Physical Therapy for Developmental Delays,"Surgery, Hormonal Therapy",Prenatal Screening,Can be Managed with Treatment,"Tumors, Intellectual Disabilities","Regular Monitoring, Surgical Intervention",None specific,"Ashwagandha, Brahmi"
Arthritis,"Vision loss, difficulty focusing","Eye Exam, Genetic Testing",Moderate to Severe,Lifelong,"Autoimmune diseases, Joint inflammation","NSAIDs, Corticosteroids",Genetic Mutation,"Weather changes, Joint strain",Poor Sleep,High Stress,Low to Moderate,Family history of joint disorders,"Anti-inflammatory, High-calcium",,"Winter, Rainy season",30-60 years,Both genders,"Sedentary lifestyle, Active",Avoids heavy physical activity,Triphala decoction (5ml),Pitta,Pitta-Prakriti,Avoid eye strain; include Vitamin A-rich foods like carrots.,"Eye Exercises, Vision Training","Vision Aids, Surgery",,Progressive Vision Loss,"Vision Impairment, Macular Degeneration",Regular Eye Checkups,None specific,None specific
Ascariasis,"Seizures, skin rash, hearing loss","Blood Tests, Genetic Testing",Moderate to Severe,Lifelong,"Poor sanitation, Contaminated water","Anthelmintics (Mebendazole, Albendazole)",Genetic Mutation,"Poor sanitation, Contaminated food",Irregular Sleep,Moderate Stress,Low,Family history of parasitic infections,"Low-fat, High-carb diet",,"Monsoon, Summer",All ages,Both genders,Exposure to unsanitary conditions,Avoids raw food,"Amalaki (10ml), Water (200ml)","Vata, Pitta",Pitta-Prakriti,Include biotin-rich foods like nuts and seeds.,None specific,Biotin Supplementation,"Early Detection, Screening",Can be Managed with Biotin,"Cognitive Impairment, Seizures",Biotin Supplementation,None specific,None specific
Asparagine Synthetase Deficiency,"Fever, chest pain, cough","Blood Tests, Culture Test",Severe,6-12 months,Genetic metabolic disorders,"Enzyme replacement, Dietary management",Exposure to Contaminated Soil,Genetic mutation,Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",,All seasons,Childhood,Both genders,"Active lifestyle, Special care",Avoids high-protein foods,"Turmeric (1/2 tsp), Honey (1 tsp)","Kapha, Pitta",Kapha-Prakriti,Avoid cold foods; consume warm soups and herbal teas.,None specific,Antifungal Medications,Avoid Exposure to Soil,Can be Managed with Medication,"Lung Damage, Skin Ulcers",Avoid Soil Contact,None specific,"Neem, Turmeric"
Aspartylglucosaminuria,"Small stature, sensitivity to sunlight, skin rash","Genetic Testing, Blood Tests",Severe,Lifelong,Genetic metabolic disorders,"Enzyme replacement, Symptomatic treatment",Genetic Mutation,"Genetic mutation, Poor protein metabolism",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-carb",,All seasons,Childhood to Adult,Both genders,"Active lifestyle, Medical care",Avoids high-protein foods,"Neem leaves (5g), Water (as needed)",Pitta,Pitta-Prakriti,Avoid direct sunlight; apply aloe vera gel for skin care.,None specific,Symptomatic Treatment,,Increased Risk of Cancer,"Increased Cancer Risk, Short Stature",Genetic Counseling,None specific,None specific
Asthma,"Pain, swelling, difficulty moving","Physical Exam, X-ray, CT Scan",Mild to Severe,6-8 weeks (varies),"Allergies, Respiratory infections","Inhalers (Beta-agonists, Corticosteroids)","Osteoporosis, Accidents","Pollen, Dust, Pollution",Irregular Sleep,High Stress,Low to Moderate,Family history of asthma,"Low-dairy, High-protein","Dust, Pollen, Pollution","Winter, Spring",All ages,Both genders,Exposure to allergens,Favors natural remedies,"Hadjod powder (2g), Warm water (200ml)",Vata,Vata-Prakriti,Include calcium-rich foods; avoid cold foods and drinks.,"Stretching, Strengthening Exercises","Casts, Surgery","Fall Prevention, Calcium Intake","Heals with Treatment, Rare Complications","Malunion, Non-union","Adequate Rest, Bone Strengthening",None specific,"Ashwagandha, Shallaki"
Atherosclerosis,"Muscle weakness, difficulty swallowing, breathing","Blood Tests, Stool Test",Severe,2-4 weeks,"High cholesterol, Hypertension","Statins, Blood thinners","Contaminated Food, Wound Infections","High-fat diet, Smoking, Lack of exercise",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-fat, High-fiber",,All seasons,40-70 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids fried foods,"Turmeric (1g), Warm water (200ml)","Kapha, Vata",Kapha-Prakriti,Avoid processed foods; stay hydrated and consume light meals.,"Breathing Exercises, Physical Therapy","Antitoxin, Supportive Care",Safe Food Practices,Can be Treated with Antitoxin,"Respiratory Failure, Paralysis",Proper Food Storage,None specific,None specific
Autosomal Dominant Polycystic Kidney Disease,"Lump in breast, skin changes, nipple discharge","Mammogram, Biopsy, Ultrasound",Severe,6 months to lifelong,"Genetic, Kidney disorders","ACE inhibitors, Diuretics","Family History, Hormonal Factors","Genetic predisposition, High blood pressure",Irregular Sleep,High Stress,Low,Family history of kidney disease,"Low-sodium, High-potassium",,All seasons,30-50 years,Both genders,"Sedentary lifestyle, Family care",Avoids high-sodium foods,Ashwagandha (5g daily),Kapha,Kapha-Prakriti,Avoid fatty foods; include antioxidant-rich foods like berries.,"Yoga for Strength, Post-Surgery Rehab","Surgery, Chemotherapy, Radiation","Regular Screening, Healthy Diet",Can be Managed with Treatment,"Metastasis, Recurrence","Regular Screening, Healthy Lifestyle",None specific,"Ashwagandha, Guggulu"
Back Pain,"Persistent cough, mucus production, chest pain","Physical Exam, Chest X-ray, Sputum Culture",Mild to Moderate,2-4 weeks,"Injury, Poor posture, Sedentary lifestyle","Pain relievers, Physical therapy","Smoking, Air Pollution, Respiratory Infections","Poor posture, Lack of exercise",Irregular Sleep,Moderate Stress,Low to Moderate,Family history of back problems,"Balanced diet, High-protein",,All seasons,20-60 years,Both genders,"Sedentary lifestyle, Office jobs",Avoids lifting heavy weights,"Mulethi (3g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid cold drinks; inhale steam with eucalyptus oil.,"Breathing Exercises, Chest Therapy","Bronchodilators, Antibiotics","Avoid Smoking, Air Quality Control",Can be Managed with Medication,Chronic Obstructive Pulmonary Disease (COPD),"Rest, Hydration","Honey, Ginger","Tulsi, Licorice"
Barth Syndrome,"Fever, joint pain, fatigue","Blood Test, Culture Test",Severe,6-8 weeks,"Genetic, Cardiovascular disorders","Supportive care, Heart medication",Contact with Infected Animals,"Genetic mutation, Stress",Poor Sleep,High Stress,Low,Family history of Barth Syndrome,"Low-sodium, High-protein",,All seasons,Childhood,Mostly Male,Special medical care,Avoids high-stress environments,"Giloy (5g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,Avoid raw milk; include immunity-boosting herbs.,None specific,"Antibiotics, Supportive Care","Avoid Animal Contact, Hygiene",Can be Managed with Antibiotics,"Osteoarticular Infections, Heart Valve Infection","Regular Monitoring, Antibiotics",None specific,None specific
Brugada Syndrome,"Fainting, irregular heartbeat, chest pain","Electrocardiogram (ECG), Genetic Testing",Severe,Lifelong,"Genetic heart conditions, Arrhythmia",Anti-arrhythmic drugs,"Genetic Mutation, Family History","Genetic, Emotional stress",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-sodium, High-potassium",,All seasons,20-50 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids alcohol and caffeine,"Arjuna (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid stress and caffeine; include magnesium-rich foods.,"Gentle Yoga, Stress Reduction","Implantable Cardioverter Defibrillator (ICD), Medication",Avoidance of Triggers,Can be Managed with ICD or Medications,Sudden Cardiac Arrest,Regular Monitoring of Heart Function,None specific,None specific
Bubonic Plague,"Fever, chills, swollen lymph nodes","Blood Test, Culture Test",Severe,2-4 weeks,"Infection, Poor hygiene","Antibiotics (Streptomycin, Doxycycline)","Flea Bites, Contact with Infected Animals","Poor sanitation, Rodent exposure",Irregular Sleep,Moderate Stress,Low,No family history,"Balanced, High-protein",,"Winter, Rainy season",All ages,Both genders,"Poor sanitation, Rural areas",Avoids crowded areas,"Neem (5g), Turmeric (2g)","Kapha, Pitta",Kapha-Prakriti,Practice hygiene; avoid crowded places and eat light meals.,None specific,"Antibiotics, Supportive Care","Avoid Flea Bites, Rodent Control",Treatable with Antibiotics,"Septicemia, Organ Failure","Good Hygiene, Avoid Rodent Areas",None specific,None specific
Buruli Ulcer,"Skin ulcers, pain, fever","Skin Biopsy, PCR Test",Severe,6-12 months,"Poor sanitation, Contaminated water",Antibiotics (Rifampicin),"Contact with Infected Water, Soil","Poor sanitation, Tropical environments",Irregular Sleep,Moderate Stress,Low,No family history,"Low-fat, High-protein",,Wet season,All ages,Both genders,"Rural, Remote areas",Avoids contaminated water,"Turmeric (1g), Water (as needed)",Pitta,Pitta-Prakriti,Avoid spicy foods; clean ulcers with antiseptic solutions.,None specific,"Antibiotics, Surgery",Avoid Contact with Contaminated Water,Treatable with Antibiotics,"Skin Ulceration, Scarring",Proper Wound Care,None specific,None specific
COVID-19,"Fever, cough, difficulty breathing","PCR Test, Blood Tests",Severe,"2-4 weeks, may vary","Respiratory infections, Underlying conditions","Antiviral drugs, Steroids","Age, Pre-existing Health Conditions, Exposure","Airborne transmission, Crowded places",Irregular Sleep,High Stress,Low,No family history,"Low-carb, High-protein",Airborne pollutants,"Winter, Rainy season",All ages,Both genders,"Work from home, Social distancing",Favors herbal remedies,"Giloy (3g), Tulsi leaves (5g), Warm water (200ml)","Kapha, Pitta",Kapha-Prakriti,"Practice hygiene, stay hydrated, and boost immunity with herbs.","Pranayama, Breathing Exercises","Antiviral Drugs, Oxygen Therapy","Vaccination, Social Distancing","Can Recover, Some Long-Term Effects","Pneumonia, Acute Respiratory Distress Syndrome (ARDS)","Stay Hydrated, Rest","Elderberry, Echinacea","Ashwagandha, Tulsi"
Canavan Disease,"Muscle weakness, difficulty swallowing, seizures","Genetic Testing, MRI",Severe,Lifelong,Genetic neurological disorders,"Supportive care, Symptomatic treatment","Genetic Mutation, Family History","Genetic mutation, Brain development issues",Irregular Sleep,Moderate Stress,Low,Family history of genetic disorders,"High-calcium, Low-protein",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Shankhpushpi (10ml), Warm water (200ml)",Vata,Vata-Prakriti,"Provide a nutrient-dense, balanced diet; avoid stress.",None specific,"Supportive Care, Medication",,"Progressive, with Cognitive Decline",Intellectual Disabilities,Genetic Counseling,None specific,None specific
Carbamoyl Phosphate Synthetase I Deficiency Disease,"Poor feeding, vomiting, lethargy","Blood Tests, Genetic Testing",Severe,Lifelong,Genetic metabolic disorders,"Enzyme replacement, Dietary management",Genetic Mutation,"Genetic mutation, Urea cycle disruption",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"High-protein, Low-fat",,All seasons,Childhood to Adult,Both genders,"Active lifestyle, Medical care",Avoids high-protein foods,"Amalaki (10ml), Water (200ml)",Pitta,Pitta-Prakriti,"Avoid high-protein foods; provide small, frequent meals.",None specific,"Arginine Supplements, Low-Protein Diet",Low-Protein Diet,Can be Managed with Diet,"Cognitive Impairment, Liver Damage",Regular Monitoring of Arginine Levels,None specific,None specific
Cardiomyopathy,"Shortness of breath, fatigue, chest pain","Echocardiogram, ECG, Blood Tests",Severe,Lifelong,"Heart conditions, Hypertension","Beta-blockers, Diuretics","Hypertension, Diabetes, Genetics","High blood pressure, Alcohol use",Poor Sleep,High Stress,Low,Family history of heart disease,"Low-sodium, High-potassium",,"Winter, Rainy season",30-70 years,Both genders,"Sedentary lifestyle, High-stress work",Avoids alcohol and smoking,"Arjuna (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid heavy exertion; include antioxidant-rich foods.,"Pranayama, Cardio Yoga","Heart Medications, Pacemaker",Healthy Heart Habits,Can be Managed with Medication,"Heart Failure, Stroke","Regular Exercise, Avoid Salt","Hawthorn, Magnesium","Arjuna, Ashwagandha"
Carpal Tunnel Syndrome,"Numbness, tingling, hand weakness","Physical Exam, Nerve Conduction Test",Moderate to Severe,"Varies, depending on severity","Repetitive strain, Hand injury","Pain relievers, Corticosteroid injections","Repetitive Hand Movements, Wrist Injury","Repetitive movements, Sedentary work",Irregular Sleep,Moderate Stress,Low to Moderate,No family history,"Anti-inflammatory, High-protein",,"Winter, Rainy season",30-60 years,Both genders,"Office work, Computer usage",Avoids repetitive strain,Dashmool oil (as needed),Vata,Vata-Prakriti,Avoid repetitive wrist motions; perform hand stretches daily.,"Wrist Exercises, Stretching","Splinting, Surgery, Steroid Injections","Ergonomics, Stretching",Can be Managed with Treatment,"Nerve Damage, Weak Grip","Hand Exercises, Correct Posture",None specific,"Ashwagandha, Turmeric"
Celiac Disease,"Bloating, diarrhea, weight loss","Blood Test, Biopsy",Moderate to Severe,Lifelong,"Genetic, Gluten intolerance",Gluten-free diet,"Genetic Predisposition, Gluten Consumption","Gluten exposure, Poor diet",Irregular Sleep,High Stress,Low,Family history of autoimmune diseases,"Gluten-free, High-protein","Gluten, Wheat","Winter, Rainy season",All ages,Both genders,Exposure to gluten,Avoids gluten-containing foods,"Ajwain (3g), Warm water (200ml)","Vata, Pitta",Vata-Pitta,"Avoid gluten; include rice, lentils, and fresh vegetables.",None specific,Gluten-Free Diet,Gluten-Free Diet,Can be Managed with Diet,"Nutrient Deficiencies, Osteoporosis",Strict Gluten-Free Diet,None specific,"Kutki, Triphala"
Cerebrotendinous Xanthomatosis,"Neurological issues, cataracts, tendon xanthomas","MRI, Blood Tests, Genetic Testing",Severe,Lifelong,"Genetic, Metabolic disorders","Cholestyramine, Bile acid sequestrants",Genetic Mutation,"Genetic mutation, Cholesterol build-up",Irregular Sleep,Moderate Stress,Low,Family history of metabolic disorders,"Low-fat, Low-cholesterol",,All seasons,Childhood to Adult,Both genders,Special medical care,Avoids high-cholesterol foods,"Brahmi (2g), Warm milk (200ml)",Vata,Vata-Prakriti,Include antioxidant-rich foods; avoid fatty foods.,None specific,"Symptomatic Treatment, Cholesterol-Lowering Drugs",,"Progressive, with Neurological Decline","Cognitive Impairment, Seizures","Genetic Counseling, Monitoring",None specific,None specific
Chagas Disease,"Fever, swelling, fatigue","Blood Test, Serology Test",Severe,Lifelong,"Poor sanitation, Vector-borne disease",Antitrypanosomal drugs,"Insect Bites, Contaminated Food",Vector-borne (Triatomine bugs),Poor Sleep,High Stress,Low,Family history of Chagas,"Low-sodium, High-potassium",,Rainy season,All ages,Both genders,"Rural, Remote areas",Avoids bug bites,"Neem (3g), Tulsi (3g), Warm water (200ml)","Pitta, Kapha",Kapha-Prakriti,Avoid raw foods; maintain proper hygiene and rest.,None specific,"Antiprotozoal Drugs, Heart Medications","Avoid Insect Bites, Safe Drinking Water",Treatable with Medication,"Heart Failure, Digestive Disorders",Good Hygiene Practices,None specific,None specific
Chickenpox,"Itchy rashes, fever, tiredness","Physical Exam, Blood Tests",Moderate to Severe,1-2 weeks,"Viral infection, Exposure to infected individuals","Antihistamines, Calamine lotion",Contact with Infected Individuals,"Airborne transmission, Crowded places",Irregular Sleep,Moderate Stress,Low,No family history,"Balanced, High-protein",,"Winter, Spring",Childhood,Both genders,"Close contact, Schools",Avoids contact with infected individuals,"Neem leaves (10g), Warm water (bath)",Pitta,Pitta-Prakriti,Avoid spicy foods; drink coconut water and stay hydrated.,None specific,"Antiviral Drugs, Symptom Relief","Vaccination, Avoid Contact","Generally Mild, Rare Complications",Secondary Skin Infections,"Rest, Hydration, Antihistamines",None specific,"Neem, Tulsi"
